MATNR;NAZWAPL;STAWN;PODGRUPA;OPIS;MATERIAL;PODGRUPA_WIELKOSC;PODGRUPA_ILOSC_KODOW;PODGRUPA_ILOSC_UZUPELNONYCH
1101030005B88I017T;S03.0X005-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X005-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030005S88D933T;S03.0X005-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X005-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030006B88I017T;S03.0X006-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X006-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030006S88D933T;S03.0X006-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X006-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030008B88I017T;S03.0X008-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X008-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030008S88D933T;S03.0X008-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X008-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030010B88I017T;S03.0X010-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X010-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030010S88D933T;S03.0X010-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X010-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030012B88I017T;S03.0X012-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X012-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030012S88D933T;S03.0X012-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X012-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030016B88I017T;S03.0X016-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X016-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030016S88D933T;S03.0X016-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X016-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030018S88D933T;S03.0X018-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X018-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030020B88I017T;S03.0X020-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X020-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030020S88D933T;S03.0X020-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X020-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030022S88D933T;S03.0X022-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X022-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030025B88I017T;S03.0X025-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X025-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030025S88D933T;S03.0X025-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X025-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030030B88I017T;S03.0X030-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X030-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030030S88D933T;S03.0X030-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X030-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030035B88I017T;S03.0X035-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X035-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030035S88D933T;S03.0X035-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X035-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030040B88I017T;S03.0X040-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X040-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030040S88D933T;S03.0X040-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X040-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030050B88I017T;S03.0X050-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X050-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101030050S88D933T;S03.0X050-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X050-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101030060S88D933T;S03.0X060-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S03.0X060-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040006B88I017T;S04.0X006-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X006-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040006B88OC08T;S04.0X006-K6-B-08.8- SRUBA DIN933 8MIK;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X006-K6-B-08.8- SRUBA DIN933 8MIK;st-stal-weglowa;5764;3;5435
1101040006S88D933T;S04.0X006-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X006-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040008B88I017T;S04.0X008-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X008-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040008S88D933T;S04.0X008-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X008-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040010B88I017T;S04.0X010-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X010-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040010O88D933T;S04.0X010-6K-O-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X010-6K-O-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040010S88D933T;S04.0X010-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X010-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040012B88I017T;S04.0X012-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X012-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040012S88D933T;S04.0X012-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X012-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040014B88I017T;S04.0X014-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X014-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040014S88D933T;S04.0X014-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X014-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040016B88I017T;S04.0X016-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X016-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040016S88D933T;S04.0X016-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X016-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040018B88I017T;S04.0X018-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X018-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040018S88D933T;S04.0X018-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X018-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040020B88I017T;S04.0X020-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X020-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040020S88D933T;S04.0X020-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X020-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040022B88I017T;S04.0X022-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X022-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040022S88D933T;S04.0X022-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X022-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040025B88I017T;S04.0X025-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X025-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040025S88D933T;S04.0X025-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X025-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040030B88I017T;S04.0X030-6K-B-08.8-SRUBA ISO4017  ;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X030-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040030S88D933T;S04.0X030-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X030-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040035B88I017T;S04.0X035-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X035-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040035MD933T;S04.0X035-6K-M- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X035-6K-M- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040035S88D933T;S04.0X035-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X035-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040040B88I017T;S04.0X040-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X040-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040040S88D933T;S04.0X040-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X040-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040045B88I017T;S04.0X045-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X045-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040045S88D933T;S04.0X045-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X045-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040050B88I017T;S04.0X050-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X050-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040050S88D933T;S04.0X050-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X050-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040055B88I017T;S04.0X055-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X055-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040055S88D933T;S04.0X055-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X055-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040060B88I017T;S04.0X060-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X060-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040060S88D933T;S04.0X060-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X060-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040065S88D933T;S04.0X065-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X065-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101040070B88I017T;S04.0X070-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X070-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101040070S88D933T;S04.0X070-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S04.0X070-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050006B88I017T;S05.0X006-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X006-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050006S88D933T;S05.0X006-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X006-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050008B88I017T;S05.0X008-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X008-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
1101050008S88D933T;S05.0X008-6K-S-08.8- SRUBA DIN933;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X008-6K-S-08.8- SRUBA DIN933;st-stal-weglowa;5764;3;5435
1101050010B88I017T;S05.0X010-6K-B-08.8-SRUBA ISO4017;;1101;Śruba z łbem 6-kątnym z gwintem na całości S05.0X010-6K-B-08.8-SRUBA ISO4017;st-stal-weglowa;5764;3;5435
