text;label;STAWN
PODGRUPA: I3203 | MATNR: I3203050050A2571T | NAZWAPL: INOX-H05.0X050-6K-A2 WKR.DO DREW.DIN571 | AVAILABLE: 17,18;17;73181100
PODGRUPA: 1314 | MATNR: 1314060020PZCF05T | NAZWAPL: W06.0X020-WW-PZ-C        METR.WALC | AVAILABLE: 27,29;27;73181558
PODGRUPA: I3203 | MATNR: I3203080080A2571T | NAZWAPL: INOX-H08.0X080-6K-A2 WKR.DO DREW.DIN571 | AVAILABLE: 17,18;17;73181100
PODGRUPA: 3114 | MATNR: 3114035035TXAK | NAZWAPL: U03.5X035/24-UHS-A TX15 WK.DR.EXTRA+ | AVAILABLE: 19,22;22;73181499
PODGRUPA: 1199 | MATNR: 1199120050S127379S | NAZWAPL: S12.0X050/16-12.9-S SR.PASOWANA ISO7379 | AVAILABLE: 25,29,31,32,33;29;73181568
PODGRUPA: 3103 | MATNR: 3103080450TXAS | NAZWAPL: U08.0X450-US-TX-A-80  SPAX WKR.UNIX STOŻ | AVAILABLE: 19,22;19;73181290
PODGRUPA: 1101 | MATNR: 1101060020C58D933T | NAZWAPL: S06.0X020-6K-C-05.8- SRUBA DIN933 | AVAILABLE: 31,32,49;31;73181582
PODGRUPA: 3104 | MATNR: 3104060080PZAK | NAZWAPL: U06.0X080-US-PZ-A-50  WKR.UNIX STOZ. | AVAILABLE: 19,22;22;73181499
PODGRUPA: 1401 | MATNR: 1401080016SD126T | NAZWAPL: P08.0X16.0X1.6-S PODKLADKA DIN126 | AVAILABLE: 42,50;42;73182200
PODGRUPA: 1101 | MATNR: 1101200080S88D933T | NAZWAPL: S20.0X080-6K-S-08.8- SRUBA DIN933 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: 1105 | MATNR: 1105080014RT | NAZWAPL: S08.0X014-6PZ-R- SRUBA | AVAILABLE: 22,31,32;31;73181582
PODGRUPA: 1102 | MATNR: 1102270130B88I014T | NAZWAPL: S27.0X130-6K-B-66-08.8- SRUBA ISO4014 | AVAILABLE: 28,31,32,35;32;73181588
PODGRUPA: 1308 | MATNR: 1308040006IMB88T | NAZWAPL: W04.0X006-WS-IM-B-10.9 STOZ.MRP | AVAILABLE: 27,29;29;73181568
PODGRUPA: 5399 | MATNR: 5399060100180CZBS | NAZWAPL: HAK-M 6X100X13518B  OCZKOWY-GWINT METR. | AVAILABLE: 3,15,19,20,22,24,27,40,45,57;20;73181300
PODGRUPA: 1109 | MATNR: 1109120035B88D603T | NAZWAPL: S12.0X035-ZG-B-08.8- SR.ZAMK.GRZYBK. | AVAILABLE: 33,49;33;73181595
PODGRUPA: 3103 | MATNR: 3103035050PZBK | NAZWAPL: U03.5X050-US-PZ-B WKR.UNIX STOZ. | AVAILABLE: 19,22;22;73181499
PODGRUPA: I3103 | MATNR: I3103045025PZA2T | NAZWAPL: INOX-U04.5X025-US-PZ-A2  WKR.UNIX STOZK | AVAILABLE: 18,21;21;73181410
PODGRUPA: 1101 | MATNR: 1101300150S10D933T | NAZWAPL: S30.0X150-6K-S-10.9- SRUBA DIN933 | AVAILABLE: 31,32,49;32;73181588
PODGRUPA: I1101 | MATNR: I1101180100A47933T | NAZWAPL: INOX-S18.0X100-6K-A4-70 SRUBA DIN933 | AVAILABLE: 30,38;30;73181575
